gtime,period,x,y,result
6.383333333333333,1,-0.3670138888888889,0,missed
7.450000000000003,1,-0.3447916666666666,0,missed
9.266666666666666,1,-0.30694444444444446,0,missed
9.75,1,-0.296875,1,made
10.549999999999997,1,-0.2802083333333334,0,missed
11.966666666666669,1,-0.2506944444444444,1,made
17.616666666666667,2,-0.1329861111111111,0,missed
17.95,2,-0.1260416666666667,0,missed
19.433333333333334,2,-0.09513888888888888,0,missed
20.133333333333333,2,-0.08055555555555556,0,missed
22.816666666666666,2,-0.024652777777777784,0,missed
24.9,3,0.01874999999999997,0,missed
27.483333333333334,3,0.07256944444444446,0,missed
0.21666666666666856,1,-0.49548611111111107,0,missed
2.2166666666666686,1,-0.4538194444444444,1,made
3.7833333333333314,1,-0.4211805555555556,0,missed
5.700000000000003,1,-0.3812499999999999,1,made
6.633333333333333,1,-0.36180555555555555,0,missed
16.083333333333332,2,-0.16493055555555558,1,made
17.566666666666666,2,-0.13402777777777777,1,made
17.95,2,-0.1260416666666667,0,missed
19.15,2,-0.1010416666666667,0,missed
21.116666666666667,2,-0.06006944444444443,0,missed
26.516666666666666,3,0.052430555555555536,0,missed
26.683333333333334,3,0.05590277777777778,1,made
27.95,3,0.08229166666666665,1,made
29.366666666666667,3,0.11180555555555556,1,made
29.583333333333332,3,0.11631944444444442,1,made
35.5,3,0.23958333333333334,1,made
35.95,3,0.2489583333333333,0,missed
2.950000000000003,1,-0.4385416666666666,0,missed
3.0333333333333314,1,-0.4368055555555556,0,missed
6.649999999999999,1,-0.3614583333333334,1,made
9.366666666666667,1,-0.3048611111111111,0,missed
9.916666666666664,1,-0.29340277777777785,0,missed
16.266666666666666,2,-0.16111111111111112,0,missed
18.016666666666666,2,-0.12465277777777779,1,made
19,2,-0.10416666666666667,0,missed
21.35,2,-0.055208333333333304,0,missed
23.95,2,-0.0010416666666666814,0,missed
26.616666666666667,3,0.054513888888888896,1,made
29.35,3,0.11145833333333337,0,missed
30.883333333333333,3,0.14340277777777777,1,made
32.11666666666667,3,0.16909722222222223,0,missed
35.43333333333334,3,0.23819444444444446,1,made
35.95,3,0.2489583333333333,0,missed
0.6833333333333371,1,-0.48576388888888883,0,missed
2.450000000000003,1,-0.4489583333333333,1,made
8.483333333333334,1,-0.32326388888888885,1,made
9.633333333333333,1,-0.29930555555555555,1,made
11.266666666666666,1,-0.2652777777777778,0,missed
11.75,1,-0.2552083333333333,0,missed
15.816666666666663,2,-0.1704861111111112,1,made
16.816666666666666,2,-0.14965277777777777,0,missed
16.883333333333333,2,-0.1482638888888889,0,missed
19.483333333333334,2,-0.09409722222222221,0,missed
19.53333333333333,2,-0.0930555555555556,1,made
22,2,-0.041666666666666664,0,missed
25.733333333333334,3,0.03611111111111113,0,missed
26.583333333333336,3,0.053819444444444496,0,missed
33.766666666666666,3,0.2034722222222222,0,missed
36,3,0.25,0,missed
36.25,4,0.2552083333333333,1,made
38.81666666666666,4,0.30868055555555557,0,missed
41.016666666666666,4,0.35451388888888885,0,missed
41.46666666666667,4,0.36388888888888893,1,made
44.8,4,0.43333333333333335,0,missed
45.1,4,0.4395833333333334,1,made
46.21666666666667,4,0.4628472222222222,0,missed
47.11666666666667,4,0.48159722222222223,0,missed
3.116666666666667,1,-0.43506944444444445,0,missed
3.9833333333333343,1,-0.41701388888888885,1,made
6.100000000000001,1,-0.3729166666666666,0,missed
6.366666666666667,1,-0.3673611111111111,0,missed
8.600000000000001,1,-0.3208333333333333,0,missed
9.166666666666664,1,-0.30902777777777785,0,missed
11.450000000000003,1,-0.2614583333333333,0,missed
19.2,2,-0.10000000000000002,0,missed
19.55,2,-0.09270833333333332,1,made
21.483333333333334,2,-0.052430555555555536,1,made
23.283333333333335,2,-0.014930555555555522,1,made
24.55,3,0.011458333333333348,0,missed
24.983333333333334,3,0.020486111111111132,0,missed
29.066666666666666,3,0.10555555555555556,0,missed
30.233333333333334,3,0.12986111111111112,0,missed
30.7,3,0.1395833333333333,1,made
31.816666666666666,3,0.16284722222222223,1,made
33.2,3,0.19166666666666665,0,missed
33.6,3,0.19999999999999998,0,missed
34.733333333333334,3,0.22361111111111112,0,missed
35.4,3,0.23750000000000002,1,made
41.3,4,0.36041666666666666,0,missed
41.35,4,0.3614583333333334,0,missed
44.733333333333334,4,0.43194444444444446,0,missed
45.78333333333333,4,0.4538194444444444,0,missed
46.766666666666666,4,0.47430555555555554,1,made
